City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
318,Naze,92,NG,1529805882,99,5.43,7.07,71.14,2.39
319,Tiksi,20,RU,1529806545,46,71.64,128.87,77.8,4.18
320,Breves,92,BR,1529806826,100,-1.68,-50.48,74.74,3.06
321,Peniche,40,PT,1529805600,93,39.36,-9.38,66.2,2.24
322,Myrtle Beach,1,US,1529805300,74,33.7,-78.89,84.2,4.7
323,Nemuro,75,JP,1529802000,77,43.32,145.57,69.8,5.82
324,Port Hueneme,40,US,1529805480,72,34.15,-119.2,69.8,18.34
325,Lagos,40,NG,1529802000,94,6.46,3.39,75.2,6.31
326,Mount Gambier,88,AU,1529806828,95,-37.83,140.78,50.44,3.18
327,Ginir,76,ET,1529806828,88,7.14,40.71,59.89,4.63
328,Port Blair,76,IN,1529806644,100,11.67,92.75,82.66,17.83
329,Shimoda,75,JP,1529804400,83,34.7,138.93,73.4,4.7
330,Barstow,1,US,1529804100,14,31.46,-103.39,100.4,6.93
331,Ayacucho,0,PE,1529806829,83,-13.16,-74.23,27.4,2.17
332,Birao,68,CF,1529806829,98,10.3,22.78,69.52,2.95
333,Mandalgovi,80,MN,1529805877,68,45.76,106.27,61.96,15.03
334,Porto Novo,40,BR,1529805600,64,-23.68,-45.44,69.8,3.36
335,Vao,68,EE,1529806830,84,59.1,26.19,52.15,5.53
336,Wad Rawah,36,SD,1529806830,75,15.16,33.13,75.01,12.24
337,Lazaro Cardenas,40,MX,1529804880,44,28.39,-105.62,91.4,3.62
338,Henties Bay,0,NA,1529806831,100,-22.12,14.28,53.23,6.98
339,Yerofey Pavlovich,36,RU,1529806831,56,53.97,121.97,70.51,6.08
340,Marrakesh,0,MA,1529805600,72,31.63,-7.99,66.2,8.05
341,Kefamenanu,0,ID,1529806832,42,-9.45,124.48,81.76,4.18
342,Tara,20,JP,1529803800,61,33.0,130.15,78.8,13.87
343,Alghero,0,IT,1529803200,93,40.56,8.32,66.2,1.12
344,Anadyr,75,RU,1529802000,71,64.73,177.51,50.0,13.42
345,Codrington,0,AU,1529806623,63,-28.95,153.24,63.58,3.85
346,Beloha,0,MG,1529806833,89,-25.17,45.06,58.63,8.66
347,Metro,56,ID,1529806809,100,-5.11,105.31,79.69,3.4
348,Iwanai,76,JP,1529806687,98,42.97,140.51,59.44,4.97
349,Omboue,92,GA,1529806834,100,-1.57,9.26,74.29,7.31
350,Candolim,92,IN,1529806834,100,15.52,73.76,72.85,4.18
351,Tolaga Bay,0,NZ,1529806834,69,-38.37,178.3,56.47,14.7
352,Vestmannaeyjar,92,IS,1529806835,100,63.44,-20.27,47.29,6.98
353,Kavaratti,48,IN,1529806628,100,10.57,72.64,80.86,18.05
354,Bastia,0,IT,1529805000,49,44.6,8.98,71.6,3.36
355,Cayenne,80,GF,1529805600,100,4.94,-52.33,75.2,3.96
356,Luorong,88,CN,1529806836,93,24.41,109.6,79.06,10.45
357,Turukhansk,48,RU,1529806650,99,65.8,87.96,69.16,8.55
358,Nizwa,8,OM,1529806837,28,22.93,57.53,84.1,2.84
359,Imbituba,0,BR,1529802000,93,-28.24,-48.67,64.4,3.36
360,Kirovsk,68,RU,1529806838,90,67.62,33.66,48.01,7.87
361,Tra Vinh,24,VN,1529806838,82,9.93,106.35,86.62,8.99
362,Nouadhibou,0,MR,1529805600,82,20.93,-17.03,66.2,16.11
363,Charters Towers,0,AU,1529806839,77,-20.07,146.27,71.05,10.67
364,Znamenka,36,RU,1529806839,34,52.41,41.44,72.04,11.34
